Object	What it does	Typical terms	Code
hvMofTA	average change = 0 (of males in trad school i)	Intercept + School = dMofT	addcovaMofT[c(1, i)]
hvFofTA	average change = 0 (of females in trad school i)	Intercept + School + Female + School.Female = hvMofTA + dFofT	hvMofTA + addcovaFofT[c(1, i)]
hvMofNA	average change = 0 (of nontrad arm g at school i)	intercept + Arm + School + Arm.School = hvMofTA + dMofNA	hvMofTA + addcovaMofN[c(1, i)]
hvFofNA	average change = 0 (of nontrad Arm g at School i for females)	Intercept + Arm + School + Female + Arm.School + Arm.Female + School.Female + Arm.School.Female = Intercept + Arm + School + Arm.School (hvMofNA) + Female + School.Female (dFofT) + Arm.Female + Arm.School.Female (dFofNA) = hvMofNA + dFofT + dFofNA& hvMofNA + dFofT + addcovaFofN[c(1, i)]	
hvMofN	average difference = 0 (of nontrad Arm g relative to trad, at School i)	hvMofNA - hvMofTA = Arm + Arm.School	dMofNA
hvFofN	difference = 0 (of nontrad Arm g females to trad females, at School i)	hvFofNA - hvFofTA =  Arm + School + Female + Arm.School + Arm.Female + School.Female + Arm.School.Female - (School + Female + School.Female) = Arm + Arm.School + Arm.Female + Arm.School.Female = hvMofNA + dFofNA	hvMofNA + dFofNA
hvMofTinT	difference = 0 (of trad in timeX relative to period 2, at School i)	School + TimeX + School.TimeX - School = TimeX + School.TimeX	addteeMofTinT[c(1 ,i)]
hvFofTinT	difference = 0 (of female trad in timeX relative to period 2, at School i)	School + TimeX + Female + School.TimeX + School.Female + Female.TimeX + School.Female.TimeX - (School + Female + School.Female)= TimeX + School.TimeX + Female.TimeX + School.Female.TimeX  = hvMofTinT + FofTinT	hvMofTinT + addteeFofTinT[c(1 ,i)]
hvMofTinTL	cumulative change = 0 (of trad at school i in period X)	Intercept + School + TimeX + School.TimeX = hvMofTA + hvMofTinT	
hvFofTinTL	cumulative change = 0 (of female trad at school i in period X) 	Intercept + School + Female + TimeX + School.TimeX + School.Female + Female.TimeX + School.Female.TimeX = hvFofTA + hvFofTinT	
dMofNinT	diff = 0 (of nontrad change relative to concurrent trad change, at school iin period X)	TimeX + Arm.TimeX + School.TimeX + Arm.School.TimeX - (TimeX + School.TimeX) = Arm.TimeX + Arm.School.TimeX	addteeMofNinT[c(1 ,i)]
dFofNinT	diff = 0 (of female nontrad change relative to concurrent female trad change, at school i in period X)	TimeX + Arm.TimeX + Female.TimeX + School.TimeX + Arm.School.TimeX + Arm.Female.TimeX + Female.School.TimeX + Arm.School.Female.TimeX - (TimeX + Female.TimeX + School.TimeX + Female.School.TimeX) = Arm.TimeX + Arm.School.TimeX + Arm.Female.TimeX + Arm.School.Female.TimeX = dMofNinT + Arm.Female.TimeX + Arm.School.Female.TimeX = dMofNinT + dFofNinT0	addteeFofNinT[c(1 ,i)]
hvMofNinT	difference = 0 (of nontrad relative to concurrent trad, at school iin period X)	Arm + School + TimeX + Arm.School + Arm.TimeX + School.TimeX + Arm.School.TimeX - (School + TimeX + School.TimeX)= Arm + Arm.School + Arm.TimeX + Arm.School.TimeX = hvMofN + dMofNinT	hvMofN + dMofNinT
hvFofNinT	difference = 0 (of female nontrad relative to concurrent female trad, at school iin period X)	Arm + School + Female + TimeX + Arm.School + Arm.Female + Arm.TimeX + School.Female + School.TimeX + Female.TimeX + Arm.School.Female + Arm.School.TimeX + Arm.Female.TimeX + School.Female.TimeX + Arm.School.Female.TimeX - (School + Female + TimeX + School.Female + School.TimeX + Female.TimeX) = Arm + Arm.School  (MofN) + Arm.Female + Arm.School.Female  (dFofN)  + Arm.TimeX + Arm.School.TimeX (dMofNinT)+ Arm.Female.TimeX + Arm.School.Female.TimeX  (dFofNinT0) = hvMofN + dFofN + dMofNinT + dFofNinT0  = hvMofN + dFofN + dFofNinT	hvMofN + dFofNA + dFofNinT
hvMofNinTL	cumulative change = 0 (of nontrad school i in period X)	(intercept) + Arm + School + TimeX + Arm.School + Arm.TimeX + School.TimeX + Arm.School.TimeX = hvMofTinTL +  hvMofNinT	
		(intercept) + School + TimeX + School.TimeX  (hvMofTinTL) + Arm + Arm.School (hvMofN)+ Arm.TimeX + Arm.School.TimeX (dMofNinT)	
		(intercept) + Arm + School + Arm.School (MofNA) + TimeX + School.TimeX (MofTinT) + Arm.TimeX + Arm.School.TimeX (dMofNinT)	
hvFofNinTL	cumulative change = 0 (of female nontrad school i in period X)	(intercept) + Arm + School + Female + TimeX + Arm.School + Arm.Female + Arm.TimeX + School.Female  + School.TimeX + Female.TimeX + Arm.School.Female + Arm.School.TimeX + Arm.Female.TimeX + School.Female.TimeX + Arm.School.Female.TimeX + Female + School.Female  (dFofT) + Female.TimeX + School.Female.TimeX (dFofTinT) + Arm.Female + Arm.School.Female  (dFofNA) +  Arm.Female.TimeX + Arm.School.Female.TimeX  (dFofNinT) = hvMofNinTL + dFofT + dFofTinT + dFofNA + dFofNinT	
