groupid	districtcode	districtname	unioncode	unionname	villagecode	villagename	upzilaname	randomization	randomizationarm	comment
70202	7	gaibandha	2	erendabari	2	anondobari	fulchhari	packaged (Asset Transfer)	4	
70420	7	gaibandha	4	fulchhari	20	bagbari	fulchhari	large credit	2	
81586	8	 kurigram	15	jadur char	86	baparipara	rowmari	Large credit (with 1 year grace period)	3	
70101	7	gaibandha	1	chondipur	1	bochagari	sundarganj	large credit	2	
81693	8	 kurigram	16	mohanganj	93	borober	char rajibpur	control (traditional Micro-credit)	1	
817101	8	 kurigram	17	rajibpur	101	camppara	char rajibpur	packaged (Asset Transfer)	4	
70421	7	gaibandha	4	fulchhari	21	char fulchari	fulchhari	packaged (Asset Transfer)	4	
70203	7	gaibandha	2	erendabari	3	char horichandi	fulchhari	large credit	2	
71166	7	gaibandha	11	saghatta	66	char shathalia	saghatta	control (traditional Micro-credit)	1	
70757	7	gaibandha	7	haripur	57	charitabari(north)	sundarganj	Large credit (with 1 year grace period)	3	
70962	7	gaibandha	9	kanchipara	62	chatar kandi	fulchhari	large credit	2	
70314	7	gaibandha	3	fazlupur	14	chumohon	fulchhari	Large credit (with 1 year grace period)	3	 Denied 
70204	7	gaibandha	2	erendabari	4	dakatia	fulchhari	large credit	2	
70646	7	gaibandha	6	haldia	46	dakkin digholkandi	saghatta	Large credit (with 1 year grace period)	3	
70422	7	gaibandha	4	fulchhari	22	deluabari (east)	fulchhari	large credit	2	
817102	8	 kurigram	17	rajibpur	102	dholauri	char rajibpur	control (traditional Micro-credit)	1	Eroded
70205	7	gaibandha	2	erendabari	5	dholipatadoa	fulchhari	Large credit (with 1 year grace period)	3	Eroded
81588	8	 kurigram	15	jadur char	88	dhonar char	rowmari	Large credit (with 1 year grace period)	3	
70206	7	gaibandha	2	erendabari	6	east  char sannasi	fulchhari	Large credit (with 1 year grace period)	3	
70424	7	gaibandha	4	fulchhari	24	east gabgasi	fulchhari	packaged (Asset Transfer)	4	
70425	7	gaibandha	4	fulchhari	25	east kholabari	fulchhari	control (traditional Micro-credit)	1	
70426	7	gaibandha	4	fulchhari	26	gabgachi	fulchhari	Large credit (with 1 year grace period)	3	
81478	8	 kurigram	14	bandaber	78	gogu mari	raumari	packaged (Asset Transfer)	4	
70538	7	gaibandha	5	gazaria	38	golna	fulchhari	large credit	2	
70539	7	gaibandha	5	gazaria	39	golna(south)	fulchhari	control (traditional Micro-credit)	1	Denial
70207	7	gaibandha	2	erendabari	7	gopinat	fulchhari	Large credit (with 1 year grace period)	3	
71064	7	gaibandha	10	mollarchar	64	hatimara(west)	gaibandha sadar	packaged (Asset Transfer)	4	Eroded
70427	7	gaibandha	4	fulchhari	27	jamira	fulchhari	control (traditional Micro-credit)	1	
70540	7	gaibandha	5	gazaria	40	jhanjair	fulchhari	Large credit (with 1 year grace period)	3	
81695	8	 kurigram	16	mohanganj	95	joanipara	char rajibpur	Large credit (with 1 year grace period)	3	
81479	8	 kurigram	14	bandaber	79	junker char	raumari	large credit	2	
71372	7	gaibandha	13	uria	72	kabilpur 	fulchhari	control (traditional Micro-credit)	1	
71330	7	gaibandha	13	uria	30	kalasona	fulchhari	large credit	2	
70431	7	gaibandha	4	fulchhari	31	kalurpara	fulchhari	Large credit (with 1 year grace period)	3	
70650	7	gaibandha	6	haldia	50	kanaipara	saghatta	control (traditional Micro-credit)	1	
70858	7	gaibandha	8	kamarjani	58	khamar kamarjani	gaibandha sadar	control (traditional Micro-credit)	1	Denial
81591	8	 kurigram	15	jadur char	91	khar char	rowmari	packaged (Asset Transfer)	4	
70859	7	gaibandha	8	kamarjani	59	kharzani(satkata)	gaibandha sadar	packaged (Asset Transfer)	4	
